source,target
3,11
21,31
15,34
38,43
54,61
17,69
13,70
4,73
3,75
21,82
36,84
22,86
13,87
68,88
64,90
17,92
61,93
4,103
33,109
91,112
74,113
1,118
39,122
101,123
64,124
96,125
13,129
44,130
41,136
110,138
13,141
76,142
50,143
21,156
76,157
13,159
93,160
77,162
11,163
35,163
88,166
4,169
12,169
153,170
124,173
1,178
41,179
25,181
62,182
134,182
64,185
154,186
43,190
123,190
23,193
36,195
47,196
85,196
188,196
50,200
177,203
81,204
89,204
44,206
84,206
84,207
135,207
23,209
58,209
93,209
160,209
178,209
24,212
38,215
8,218
14,218
64,219
218,222
13,223
13,226
209,226
60,229
72,229
1,231
13,234
73,236
192,238
13,239
84,239
141,239
226,239
235,239
106,242
21,243
220,246
229,248
240,249
209,254
254,256
122,258
144,258
163,262
239,262
149,266
252,267
65,270
263,271
168,272
13,273
209,273
107,274
222,278
7,279
193,280
172,286
284,286
259,287
90,288
162,291
64,292
61,296
84,296
109,297
142,297
283,297
207,298
235,298
262,298
294,298
298,299
114,300
253,303
95,304
140,307
13,309
25,309
43,310
203,312
131,315
298,315
15,324
90,324
202,326
54,327
39,328
56,329
74,329
191,329
301,329
169,331
2,332
258,332
178,336
138,337
326,338
214,339
54,342
70,342
296,342
319,342
79,343
104,343
41,344
228,345
118,347
147,348
324,349
233,350
17,351
64,351
69,351
108,351
93,356
120,358
37,361
71,361
115,362
104,363
223,363
294,363
10,364
358,370
297,375
78,377
41,379
279,381
196,386
175,393
33,395
88,398
3,399
299,400
117,401
74,402
218,402
298,403
364,405
193,406
239,406
294,406
356,406
4,409
203,410
110,411
151,411
396,411
74,414
141,416
207,416
223,416
290,416
315,416
118,417
254,418
83,419
409,421
237,422
358,423
395,424
338,425
226,428
298,428
106,429
127,429
279,430
397,431
337,432
178,434
416,436
388,441
177,444
238,444
93,447
193,447
209,447
239,447
356,447
34,448
376,449
12,450
50,452
376,452
243,453
202,454
289,455
164,458
15,463
438,463
380,465
444,466
297,467
182,470
238,472
420,472
444,472
39,474
258,474
131,476
125,478
101,480
434,480
409,481
72,483
83,483
412,484
243,486
97,488
324,488
463,488
416,489
267,491
81,493
434,493
41,494
184,494
351,494
297,498
331,498
67,500
118,500
156,500
77,502
209,504
420,508
106,509
263,511
297,511
18,512
169,512
54,516
345,524
424,525
306,526
205,527
366,527
146,528
102,529
404,529
60,530
19,534
34,534
71,536
367,540
13,541
294,542
266,543
348,543
535,543
186,544
377,544
228,545
413,546
438,546
74,548
209,549
93,551
163,551
209,551
283,552
297,552
81,553
201,553
480,553
493,553
256,556
262,556
342,556
350,560
484,560
512,560
182,562
253,562
152,564
486,567
300,568
360,568
230,569
199,570
555,571
163,572
141,574
298,574
387,575
448,575
88,576
